Placement Controller,Reallocation Controller,Initial Placement,Times,Workload data,Schedule,Release,Experiment start time,Experiment stop time,Status,MEAN server count,50 quantile server count,90 quantile server count,MIN server count,MAX server count,MEAN server CPU utilization,50 quantile server CPU utilization,MEAN server MEM utilization,SUCCESSFUL operations count,FAILED operations count,MEAN operations response time,50 quantile operations response time (sampled),90 quantile operations response time (sampled),50 quantile operation response time (AVG over all targets),90 quantile operation response time (AVG over all targets),MAX operations response time,operations per second,requests per second,operations response time threshold violations,live migrations count,Server CPU > 90% measurements count,Server activations count,Server deactivations count,Total seen operations count
WorstFit,KMControl,Round,MKII,MKII,20202,MKIICOOP ,2/7/2014 18:15:00,2/8/2014 5:30:00,ok,3.5223531,4,6,1,6,33.02109108,32.2,32.8355714,2414074,4913,670.1619864,1047,1125,582.808414,807.7675718,33266,4.632960089,35.77107824,15429,20,1,12,12,2418987
WorstFit,KMControl,Round,MKII,MKII,20203,MKIICOOP ,2/8/2014 13:01:00,2/9/2014 0:45:00,ok,2.882099697,3,5,1,6,28.9521775,28.5,33.4294206,1620360,914,613.836951,1047,1120,583.3303425,809.4198725,56114,2.781466048,21.5259556,11209.5,24,1,16,16,1621274
WorstFit,KMControl,Round,MKII,MKII,20300,MKIICOOP ,2/9/2014 2:21:00,2/9/2014 14:30:00,ok,3.675690903,4,5,1,6,28.59258001,25.6,32.77096707,2269026,5304,623.6546207,1047,1140,572.4621698,794.9961403,42277,3.478768218,26.8328423,8732,20,1,14,14,2274330
WorstFit,KMControl,Round,MKII,MKII,20301,MKIICOOP ,2/9/2014 15:00:00,2/10/2014 3:00:00,ok,3.609799903,4,5,1,6,29.59299347,28.1,31.49892592,2280489,1295,682.8642582,1047,1111,571.3104905,781.0435005,55830,3.47883727,26.93124709,10521,20,1,14,14,2281784
WorstFit,KMControl,Round,MKII,MKII,20302,MKIICOOP ,2/10/2014 9:25:00,2/10/2014 21:30:00,ok,3.784566916,4,6,1,6,30.46911994,27.8,32.62405309,2753194,956,647.9256315,1046,1116,589.7589966,1010.291684,38210,5.311960048,41.01298071,14668,20,1,11,11,2754150
WorstFit,KMControl,Round,MKII,MKII,20303,MKIICOOP ,2/11/2014 0:03:00,2/11/2014 12:00:00,ok,3.421630831,4,6,1,6,29.40298128,27.1,32.5681286,2168198,1663,639.018264,1046,1108,580.6337439,851.4784342,56434,4.875599489,37.75359047,10570.5,15,1,11,11,2169861
,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,
WorstFit,TControl,Round,MKII,MKII,20000,MKIICOOP ,2/12/2014 21:15:00,2/13/2014 8:30:00,ok,3.014527603,3,4,1,5,37.82424043,37.2,38.46099868,2426490,3694,661.6887032,1046,1126,587.9028603,911.8139854,54636,4.205475497,32.50147855,6115,25,1,12,12,2430184
WorstFit,TControl,Round,MKII,MKII,20001,MKIICOOP ,2/13/2014 22:55:00,2/14/2014 11:10:00,ok,3.130250434,3,4,1,5,38.8683848,38.8,40.18617047,2854015,5682,688.9559768,1047,1117,643.545835,1200.75445,35473,4.764388855,36.5769058,13831.5,27,1,14,14,2859697
WorstFit,TControl,Round,MKII,MKII,20002,MKIICOOP ,2/14/2014 11:15:00,2/14/2014 21:30:00,ok,3.306960875,3,5,1,6,48.21481808,48.4,37.10027426,2939625,16607,875.3571672,1056,1332,604.3296989,1162.297975,181830,4.536780804,35.02897011,50061,26,1,11,11,2956232
WorstFit,TControl,Round,MKII,MKII,20003,MKIICOOP ,2/16/2014 12:56:00,2/17/2014 1:20:00,ok,2.685137979,2,4,1,6,34.49269654,35.8,42.46193463,1932036,1547,595.2955072,1046,1098,577.5890708,794.1725266,41293,3.380822757,26.10996208,6170,26,1,14,14,1933583
WorstFit,TControl,Round,MKII,MKII,20100,MKIICOOP ,2/17/2014 9:08:00,2/17/2014 21:05:00,ok,2.749563891,3,4,1,5,39.0163223,40.7,41.81924327,2495460,1482,659.3390695,1047,1115,587.3075892,785.6055794,55875,3.102837126,23.97901135,6765.5,29,1,15,15,2496942
WorstFit,TControl,Round,MKII,MKII,20101,MKIICOOP ,2/20/2014 23:38:00,2/21/2014 11:25:00,ok,2.579682284,2,5,1,6,37.11410292,38,44.02353121,1915565,2220,651.7145553,1048,1132,589.784223,986.8158137,41761,4.231577153,32.59733666,11202.5,29,1,15,15,1917785
WorstFit,TControl,Round,MKII,MKII,20102,MKIICOOP ,2/21/2014 11:25:00,2/21/2014 23:50:00,ok,3.5463793,4,5,1,6,44.59407302,46.1,36.56120075,4009859,1618,704.599799,1048,1154,586.5369785,896.2141212,38602,5.08198707,39.21114071,27222.5,25,1,14,14,4011477
WorstFit,TControl,Round,MKII,MKII,20103,MKIICOOP ,2/22/2014 0:30:00,2/22/2014 13:10:00,ok,2.227992728,2,4,1,6,37.89455935,40.7,42.85994906,1639053,4382,571.11722,1049,1132,593.8569928,883.8300652,59295,2.80728678,21.72252311,9103,27,1,14,14,1643435
WorstFit,TControl,Round,MKII,MKII,20200,MKIICOOP ,2/22/2014 18:20:00,2/23/2014 4:30:00,ok,2.50967597,3,4,1,5,36.44599545,36.6,38.01138559,1572892,3518,692.5902059,1049,1159,583.6004088,926.6914355,56148,3.459811565,26.75432857,13034.5,23,1,13,13,1576410
WorstFit,TControl,Round,MKII,MKII,20201,MKIICOOP ,2/23/2014 13:30:00,2/24/2014 1:10:00,ok,2.407690669,2,5,1,5,39.39925279,38.8,37.59348177,2068103,8805,674.1811389,1049,1136,590.3582987,1067.988052,54541,4.123935046,31.88780001,12127,28,1,13,13,2076908
WorstFit,TControl,Round,MKII,MKII,20202,MKIICOOP ,2/24/2014 9:24:00,2/24/2014 20:30:00,ok ,2.954610431,3,5,1,6,40.42916915,40.6,38.81436205,2384408,1899,748.8810305,1048,1174,583.1678129,940.6592046,40369,4.584655952,35.34838271,31576.5,22,1,15,15,2386307
WorstFit,TControl,Round,MKII,MKII,20203,MKIICOOP ,2/25/2014 9:08:00,2/25/2014 20:50:00,ok,2.701753219,3,4,1,6,31.7229313,29.6,35.99981842,1627015,4349,584.2237585,1048,1114,590.2680814,881.1519755,34380,2.783365899,21.49814305,5141.5,33,1,14,14,1631364
